Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average,Percentage,
Argentina,"232,557,260,817","287,530,508,431","361,558,037,110","332,976,484,578","423,627,422,092","530,163,281,575","545,982,375,701","552,025,140,252","526,319,673,732","584,711,485,367","545,476,103,427","447,538,888,462",0.80%,
Australia,"747,572,626,535","853,764,622,753","1,055,334,825,425","927,168,311,000","1,142,876,772,659","1,390,557,034,408","1,538,194,473,087","1,567,178,619,062","1,459,597,906,913","1,345,383,143,356","1,204,616,439,828","1,202,931,343,184",2.30%,
Brazil,"1,107,640,325,472","1,397,084,381,901","1,695,824,517,396","1,667,019,605,882","2,208,871,646,203","2,616,201,578,192","2,465,188,674,415","2,472,806,919,902","2,455,993,200,170","1,803,652,649,614","1,796,186,586,414","1,971,497,280,506",3.70%,
Canada,"1,315,415,197,461","1,464,977,190,206","1,549,131,208,997","1,371,153,004,986","1,613,464,422,811","1,788,647,906,048","1,824,288,757,448","1,842,628,005,830","1,792,883,225,804","1,552,807,652,015","1,529,760,492,201","1,604,105,187,619",3.00%,
China,"2,752,131,773,355","3,552,182,311,653","4,598,206,091,384","5,109,953,609,257","6,100,620,488,868","7,572,553,836,875","8,560,547,314,679","9,607,224,481,533","10,482,372,109,962","11,064,666,282,626","11,199,145,157,649","7,327,236,677,986",13.90%,
France,"2,325,011,918,203","2,663,112,510,266","2,923,465,651,091","2,693,827,452,070","2,646,837,111,795","2,862,680,142,625","2,681,416,108,537","2,808,511,203,185","2,849,305,322,685","2,433,562,015,516","2,465,453,975,282","2,668,471,219,205",5.10%,
Germany,"3,002,446,368,084","3,439,953,462,907","3,752,365,607,148","3,418,005,001,389","3,417,094,562,649","3,757,698,281,118","3,543,983,909,148","3,752,513,503,278","3,890,606,893,347","3,375,611,100,742","3,477,796,274,497","3,529,824,996,755",6.70%,
India,"920,316,529,730","1,201,111,768,409","1,186,952,757,636","1,323,940,295,875","1,656,617,073,124","1,823,049,927,771","1,827,637,859,136","1,856,722,121,395","2,035,393,459,979","2,089,865,410,868","2,263,792,499,341","1,653,218,154,842",3.10%,
Indonesia,"388,167,833,439","460,192,550,124","543,253,873,102","574,505,139,225","755,094,160,363","892,969,107,923","917,869,910,106","912,524,136,718","890,814,755,233","861,256,351,277","932,259,177,765","738,991,545,025",1.40%,
Italy,"1,942,633,797,516","2,203,053,380,783","2,390,729,163,615","2,185,160,183,384","2,125,058,244,243","2,276,292,404,601","2,072,823,157,060","2,130,491,320,659","2,151,732,868,243","1,832,347,450,962","1,858,913,163,928","2,106,294,103,181",4.00%,
Japan,"4,530,377,224,970","4,515,264,514,431","5,037,908,465,114","5,231,382,674,594","5,700,098,114,744","6,157,459,594,824","6,203,213,121,334","5,155,717,056,271","4,848,733,415,524","4,383,076,298,082","4,940,158,776,617","5,154,853,568,773",9.80%,
"Korea, Rep.","1,011,797,457,139","1,122,679,154,632","1,002,219,052,968","901,934,953,365","1,094,499,338,703","1,202,463,682,634","1,222,807,284,485","1,305,604,981,272","1,411,333,926,201","1,382,764,027,114","1,411,245,589,977","1,188,122,677,135",2.30%,
Mexico,"965,281,191,372","1,043,471,321,169","1,101,275,278,669","894,948,748,437","1,051,128,603,514","1,171,187,519,661","1,186,598,324,462","1,261,981,728,469","1,298,461,494,903","1,152,263,780,658","1,046,922,702,461","1,106,683,699,434",2.10%,
Russian Federation,"989,930,542,279","1,299,705,247,686","1,660,844,408,500","1,222,643,696,992","1,524,916,112,079","2,051,661,732,060","2,210,256,976,945","2,297,128,039,058","2,063,662,665,172","1,365,864,126,833","1,283,162,985,989","1,633,616,048,508",3.10%,
Saudi Arabia,"376,900,133,511","415,964,509,673","519,796,800,000","429,097,866,667","528,207,200,000","671,238,840,107","735,974,843,360","746,647,127,413","756,350,347,333","651,757,333,333","646,438,380,560","588,943,034,723",1.10%,
South Africa,"271,811,088,781","299,033,511,000","287,099,991,517","297,216,730,669","375,298,134,440","416,878,162,441","396,332,598,448","366,810,014,300","351,119,102,947","317,610,719,411","295,456,189,492","334,060,567,586",0.60%,
Turkey,"552,486,912,846","675,770,112,825","764,335,657,318","644,639,902,581","771,876,791,232","832,546,270,784","873,981,786,532","950,595,270,314","934,167,809,302","859,794,177,118","863,711,710,427","793,082,400,116",1.50%,
UK,"2,692,612,695,492","3,074,359,743,898","2,890,564,338,235","2,382,825,985,356","2,441,173,394,730","2,619,700,404,733","2,662,085,168,499","2,739,818,680,930","3,022,827,781,881","2,885,570,309,161","2,647,898,654,635","2,732,676,105,232",5.20%,
US,"13,855,888,000,000","14,477,635,000,000","14,718,582,000,000","14,418,739,000,000","14,964,372,000,000","15,517,926,000,000","16,155,255,000,000","16,691,517,000,000","17,393,103,000,000","18,120,714,000,000","18,624,475,000,000","15,903,473,272,727",30.20%,
New Zealand,,,,,,,,"4,517,527","4,566,700","4,614,532","4,660,833","4,589,898",,"52,685,620,771,001"
